year,sale_date,price,description_of_property,property_size_description,formatted_address,latitude,longitude,geo_county
2016,18/01/2016,81500,Second-Hand,,"11 Church Ave, Grace Park Rd, Drumcondra, Dublin 9, D09 E6T8, Ireland",53.3710447,-6.2524351,Dublin City
2012,26/11/2012,107500,Second-Hand,,"Apartment 16, Saint Patricks Court, Clanbrassil Street Lower, Merchants Quay, Dublin 8, Ireland",53.3338835,-6.2757933,Dublin City
2016,01/06/2016,356250,Second-Hand,,"Blooms Lodge, Sandycove Cl, DÃƒÂºn Laoghaire, Dublin, Ireland",53.286313,-6.1147546,DLR
2015,04/09/2015,315000,Second-Hand,,"41 Tyrconnell Park, Inchicore, Dublin 8, D08 YNC8, Ireland",53.3386682,-6.325294,Dublin City
2013,20/12/2013,187000,Second-Hand,,"29 Forest Rd, Cremona, Swords, Co. Dublin, Ireland",53.4500593,-6.2316717,Fingal
2015,03/07/2015,247000,Second-Hand,,"46 Fforster Lawn, Ballydowd Manor, Lucan, Co. Dublin, K78 HF98, Ireland",53.3488704,-6.4280687,South Dublin
2014,14/02/2014,610000,Second-Hand,,"11 Cornelscourt Hill Rd, Cabinteely, Dublin, Ireland",53.2642357,-6.1679098,DLR
2015,08/05/2015,180616,Second-Hand,greater than or equal to 38 sq metres and less than 125 sq metres,"184 Hampton Wood Rd, Hampton Wood, Dublin 11, D11 RR68, Ireland",53.404433,-6.2841734,Dublin City
2012,22/02/2012,163000,Second-Hand,,"98 Herberton Rd, Rialto, Dublin 8, D08 C9CT, Ireland",53.3353631,-6.2986718,Dublin City
2015,03/07/2015,340000,Second-Hand,,"20 Greenhills Rd, Walkinstown, Dublin 12, D12 E9X9, Ireland",53.3163462,-6.3341694,South Dublin
2014,24/11/2014,850000,Second-Hand,,"43F Strand Rd, Dublin 4, D04 R8C9, Ireland",53.3295612,-6.2092803,Dublin City
2016,16/06/2016,530000,Second-Hand,,"8 Lansdowne Square, Dublin 4, D04 W2H2, Ireland",53.3339635,-6.2230193,Dublin City
2015,22/10/2015,59677,Second-Hand,,"45 Harold's Cross Rd, Harold's Cross, Dublin 6W, Co. Dublin, D6W RR25, Ireland",53.32746,-6.2769286,Dublin City
2015,21/10/2015,685000,Second-Hand,,"Seamount Rd, Malahide, Co. Dublin, Ireland",53.44194,-6.1458,Fingal
2013,03/07/2013,600000,Second-Hand,,"34 Hampton Ct, Clontarf East, Dublin 3, D03 TK53, Ireland",53.367944,-6.196846,Dublin City
2015,27/11/2015,517500,Second-Hand,,"6 Cherry Lawn, Carpenterstown, Dublin, Ireland",53.3761826,-6.3883855,Fingal
2017,10/03/2017,257000,Second-Hand,,"156 Springdale Rd, Edenmore, Dublin 5, D05 P5X2, Ireland",53.3873467,-6.1889031,Dublin City
2016,17/02/2016,167117,Second-Hand,,"Elm Park Service Station, 196 Merrion Rd, Dublin 4, D04 Y8V0, Ireland",53.3137958,-6.2074132,Dublin City
2013,05/04/2013,275000,Second-Hand,,"128 Killester Park, Clontarf West, Dublin 5, D05 W7V2, Ireland",53.3777011,-6.2068427,Dublin City
2012,11/06/2012,360000,Second-Hand,,"20 Bewley Dr, Willsbrook Woods, Lucan, Co. Dublin, K78 XK51, Ireland",53.3536854,-6.4244136,South Dublin
2013,02/05/2013,128500,Second-Hand,,"42 McKee Rd, Finglas East, Dublin 11, D11 W738, Ireland",53.3922216,-6.2931298,Dublin City
2016,29/04/2016,201028,Second-Hand,greater than or equal to 38 sq metres and less than 125 sq metres,"70 The Paddocks View, Adamstown, Lucan, Co. Dublin, K78 N295, Ireland",53.3492432,-6.4642528,South Dublin
2014,10/10/2014,342000,Second-Hand,,"14 Mount Symon Cl, Clonsilla, Dublin 15, D15 V0A8, Ireland",53.3888771,-6.4220438,Fingal
2016,09/09/2016,415000,Second-Hand,,"12 Dean's Grange Rd, Deansgrange, Blackrock, Co. Dublin, A94 W1C2, Ireland",53.2847905,-6.1671105,DLR
2013,30/08/2013,710000,Second-Hand,,"Kilmacud Rd Upper, Dublin, Ireland",53.2860981,-6.2238095,DLR
2013,15/10/2013,186000,Second-Hand,,"77 Whitethorn Dr, Dublin 22, D22 F6X9, Ireland",53.3442623,-6.3809805,South Dublin
2014,09/05/2014,250000,Second-Hand,,"12 Hazel Lawn, Blanchardstown, Dublin 15, D15 ETF7, Ireland",53.3848476,-6.3790619,Fingal
2016,09/09/2016,345000,Second-Hand,,"48 Botanic Ave, Drumcondra, Dublin 9, D09 TN26, Ireland",53.3680414,-6.2584869,Dublin City
2014,05/02/2014,237000,Second-Hand,,"13 Temple View Rise, Clarehall, Dublin 13, D13 T8Y9, Ireland",53.4016669,-6.176386,Dublin City
2015,19/01/2015,330000,Second-Hand,,"20 Mount Symon Cl, Clonsilla, Dublin 15, D15 P3C1, Ireland",53.389064,-6.4219589,Fingal
2016,21/10/2016,515000,Second-Hand,,"65 Park Lawn, Clontarf East, Dublin 3, D03 A273, Ireland",53.3681376,-6.1808857,Dublin City
2014,04/02/2014,45000,Second-Hand,,"122 Oranmore Rd, Cherry Orchard, Dublin 10, D10 HK20, Ireland",53.3404271,-6.3708037,Dublin City
2015,05/06/2015,380000,Second-Hand,,"Fawn Lodge, Castleknock Rd, Ashtown, Dublin 15, Ireland",53.3703412,-6.3489732,Fingal
2017,12/01/2017,280000,Second-Hand,,"63 White Oaks, Friarland, Dublin, Ireland",53.30312,-6.236655,DLR
2015,24/02/2015,125000,Second-Hand,,"15 Sundale Grove, Jobstown, Dublin 24, D24 EKR4, Ireland",53.2831671,-6.4078824,South Dublin
2015,15/07/2015,280000,Second-Hand,,"42 Clancarthy Rd, Clontarf, Dublin 5, D05 KV29, Ireland",53.3730203,-6.2188733,Dublin City
2015,15/04/2015,103524,Second-Hand,,"Santry, Co. Dublin, Ireland",53.3978924,-6.256171,Dublin City
2014,24/06/2014,286345,Second-Hand,greater than or equal to 38 sq metres and less than 125 sq metres,"Brandon Square, Waterville, Blanchardstown, Co. Dublin, Ireland",53.3927045,-6.3660461,Fingal
2013,05/03/2013,152500,Second-Hand,,"Woodview Court, Glenalbyn Rd, Stillorgan, Dublin, Ireland",53.2861799,-6.1956525,DLR
2014,24/02/2014,247000,Second-Hand,,"1 Balkill Rd, Howth, Dublin, Ireland",53.3807621,-6.0663591,Fingal
2015,18/12/2015,770925,Second-Hand,greater than 125 sq metres,"18 Maxwell Rd, Dublin 6, Ireland",53.317154,-6.2670387,Dublin City
2016,02/06/2016,325000,Second-Hand,,"North Dock, Dublin, Co. Dublin, Ireland",53.3499657,-6.2379857,Dublin City
2016,11/11/2016,260000,Second-Hand,,"74 Oaklands Ave, Swords Demesne, Swords, Co. Dublin, K67 TW10, Ireland",53.4571098,-6.2189856,Fingal
2012,29/11/2012,131000,Second-Hand,,"38 Harold's Cross Cottages, Harold's Cross, Dublin 6, D06 X767, Ireland",53.3282793,-6.2748179,Dublin City
2013,11/07/2013,650000,Second-Hand,,"27 Duncarraig, Howth Demesne, Dublin 13, D13 Y1T2, Ireland",53.3812686,-6.0975988,Fingal
2014,14/06/2014,145000,Second-Hand,,"50 Holmpatrick, Skerries, Co. Dublin, Ireland",53.5714845,-6.1005167,Fingal
2012,20/12/2012,165000,Second-Hand,,"9 Foxford, Ballyowen, Lucan, Co. Dublin, K78 VY28, Ireland",53.3494972,-6.4224501,South Dublin
2014,29/05/2014,519001,Second-Hand,greater than 125 sq metres,"Brickfield Dr, Honeypark, Dublin, Ireland",53.279871,-6.1462474,DLR
2016,22/03/2016,263500,Second-Hand,,"23 Pigeon House Rd, Dublin 4, D04 P920, Ireland",53.3433753,-6.2202771,Dublin City
2016,10/08/2016,563505,Second-Hand,,"Balgaddy, Lucan, Co. Dublin, Ireland",53.3408508,-6.4242272,South Dublin
2015,15/07/2015,285000,Second-Hand,greater than or equal to 38 sq metres and less than 125 sq metres,"8 Park Ave, Clongriffin, Dublin 13, D13 A009, Ireland",53.4036811,-6.1579167,Dublin City
2016,05/09/2016,892500,Second-Hand,,"2 Woodbine Park, Trimblestown, Blackrock, Co. Dublin, A94 XD27, Ireland",53.3107061,-6.2075395,DLR
2015,03/09/2015,70000,Second-Hand,,"3 Poplar Row, Dublin, Ireland",53.3609082,-6.2397437,Dublin City
2014,07/04/2014,275000,Second-Hand,,"10, The Haven, Stillorgan Rd, Woodland, Blackrock, Co. Dublin, Ireland",53.2956707,-6.2033224,DLR
2013,28/10/2013,253000,Second-Hand,,"32 Haverty Road, Clontarf West, Dublin 3, D03 R992, Ireland",53.364726,-6.2311526,Dublin City
2016,07/04/2016,148000,Second-Hand,,"31, 55 Mountjoy Square W, Rotunda, Dublin 1, D01 E193, Ireland",53.3558045,-6.2583806,Dublin City
2014,11/07/2014,291072,Second-Hand,greater than or equal to 38 sq metres and less than 125 sq metres,"Swords, Co. Dublin, Ireland",53.4557467,-6.2197406,Fingal
2017,25/04/2017,305000,Second-Hand,,"Apartment 6, Percy Court, Percy Pl, Dublin 4, D04 F620, Ireland",53.3359613,-6.2422324,Dublin City
2012,07/08/2012,245000,Second-Hand,,"10 Carrickmount Ave, Churchtown Upper, Dublin 14, D14 VY64, Ireland",53.2900301,-6.2596272,DLR
2013,09/05/2013,99612,Second-Hand,,"Finglas Rd, Dublin, Ireland",53.3811085,-6.2898495,Dublin City
2015,10/12/2015,225000,Second-Hand,,"Sliabh Gcua, Nangor Rd, Ballybane, Dublin 22, Ireland",53.3185569,-6.4487482,South Dublin
2013,23/07/2013,297000,Second-Hand,,"Trimbleston, Goatstown Rd, Friarland, Dublin 14, Ireland",53.2983908,-6.2315228,DLR
2014,16/06/2014,395000,Second-Hand,,"87 Ridgewood Green, Ridgewood, Swords, Co. Dublin, K67 YC89, Ireland",53.4467639,-6.2491697,Fingal
2016,30/06/2016,750000,Second-Hand,,"64 Northumberland Rd, Dublin 4, D04 R5W7, Ireland",53.3344818,-6.2365192,Dublin City
2013,01/08/2013,182500,Second-Hand,,"86 Rathdrum Rd, Harold's Cross, Dublin 12, D12 K667, Ireland",53.3285741,-6.2894573,Dublin City
2017,11/04/2017,47500,Second-Hand,,"2 St James's Ave, Ballybough, Dublin 3, D03 E397, Ireland",53.3615658,-6.2479932,Dublin City
2014,17/09/2014,350000,Second-Hand,,"59 Millmount Ave, Drumcondra, Dublin 9, D09 R990, Ireland",53.369502,-6.258168,Dublin City
2012,17/12/2012,95000,Second-Hand,,"Harold's Cross, Dublin, Ireland",53.3245809,-6.2815804,Dublin City
2014,29/12/2014,426667,Second-Hand,,"13 Ashleigh Lawn, Malahide, Co. Dublin, K36 PW53, Ireland",53.445106,-6.15527,Fingal
2016,12/12/2016,400000,Second-Hand,,"19 Dunmore Park, Kingswood, Dublin 24, D24 DT8K, Ireland",53.3108204,-6.3654315,South Dublin
2015,02/09/2015,324585,Second-Hand,,"5, Millmount Court, Dundrum Rd, Windy Arbour, Dublin 14, Ireland",53.3058048,-6.24609,DLR
2012,27/07/2012,249000,Second-Hand,,"18 Shanglas Rd, Beaumont, Dublin 9, D09 DC67, Ireland",53.3887222,-6.239845,Dublin City
2013,02/10/2013,218000,Second-Hand,,"15 Athlumney Villas, Dublin 6, D06 KN84, Ireland",53.3293725,-6.2610003,Dublin City
2015,03/12/2015,185625,Second-Hand,,"3, 38 Ormond Quay Lower, North City, Dublin 1, D01 HN52, Ireland",53.3466143,-6.2638254,Dublin City
2016,24/02/2016,147000,Second-Hand,,"City Gate, St Augustine St, Merchants Quay, Dublin 8, Ireland",53.3448153,-6.2770799,Dublin City
2012,29/06/2012,130000,Second-Hand,,"49 Cherry Ave, Forestfields, Swords, Co. Dublin, K67 KN83, Ireland",53.4498111,-6.2362477,Fingal
2014,28/11/2014,151000,Second-Hand,,"78 Derrynane Parade, Inns Quay, Dublin, Ireland",53.3603707,-6.2639674,Dublin City
2014,07/11/2014,180820,Second-Hand,,"Belville Court, Johnstown Rd, Glenageary, Cabinteely, Co. Dublin, Ireland",53.2677024,-6.1483888,DLR
2012,27/07/2012,134538,Second-Hand,greater than 125 sq metres,"17, Crosbie's Yard, 64 Ossory Rd, East Wall, Dublin, Ireland",53.3554387,-6.2411408,Dublin City
2016,04/03/2016,415000,Second-Hand,,"27 Fernhill Park, Manor Estate, Dublin 12, D12 EF44, Ireland",53.3086724,-6.3260904,South Dublin
2013,19/12/2013,217000,Second-Hand,,"80 Ratoath Estate, Cabra West, Dublin 7, D07 E93X, Ireland",53.3732609,-6.3047866,Dublin City
