year,sale_date,price,description_of_property,property_size_description,formatted_address,latitude,longitude,geo_county
2012,2012-04-27,235000,Second-Hand,>=38<125,"Wyckham Point, Wyckham Way, Balally, Dublin 16, D16 P640, Ireland",53.2804439,-6.2433444,DLR
2012,2012-12-14,130000,Second-Hand,>=38<125,"Ratoath Rd, Ashtown, Dublin 7, Ireland",53.376394,-6.3090148,Dublin City
2012,2012-07-24,200000,New,>=38<125,"10A Grotto Pl, Merrion, Blackrock, Co. Dublin, A94 W8N6, Ireland",53.3089528,-6.19803,DLR
2012,2012-07-24,200000,New,>=38<125,"10B Grotto Pl, Merrion, Blackrock, Co. Dublin, A94 V9Y0, Ireland",53.3089066,-6.1979462,DLR
2012,2012-12-04,330000,New,>=38<125,"11 Brennanstown Square, Brenanstown, Dublin, Ireland",53.2564293,-6.1502607,DLR
2012,2012-11-16,147874,Second-Hand,>=38<125,"11 Burgage Cres, Commons Little, Newcastle, Co. Dublin, D22 V656, Ireland",53.297746,-6.494566,South Dublin
2012,2012-12-10,192000,Second-Hand,>=38<125,"Kensington Lodge, Rochestown Ave, D̼n Laoghaire, Dublin, Ireland",53.2780899,-6.1535517,DLR
2012,2012-12-20,154185,New,>125,"11 Ballynakelly Ct, Ballynakelly, Newcastle, Co. Dublin, D22 PK77, Ireland",53.2945132,-6.4926171,South Dublin
2012,2012-11-15,119950,New,>=38<125,"11 Barnwell Ln, Hansfield, Dublin 15, D15 E5YV, Ireland",53.3914787,-6.4411761,Fingal
2012,2012-09-11,155000,Second-Hand,>=38<125,"11 Barnwell Rd, Hansfield, Dublin 15, D15 NF7K, Ireland",53.3909732,-6.4431382,Fingal
2012,2012-06-12,242290,Second-Hand,>=38<125,"Beverton Wood, Beaverstown, Donabate, Co. Dublin, Ireland",53.4908849,-6.159376,Fingal
2012,2012-09-28,240000,Second-Hand,>=38<125,"Apartment 17, Cedar Grove, Firhouse Rd, Knocklyon, Dublin 16, Ireland",53.288888,-6.3217007,South Dublin
2012,2012-07-19,95000,New,>125,"11 Chapelwood Green, Hollystown, Dublin 15, D15 FX2T, Ireland",53.4337499,-6.3757866,Fingal
2012,2012-07-04,638745,Second-Hand,>=38<125,"11 Claremont Pines, Cabinteely, Dublin 18, D18 N1W8, Ireland",53.2600162,-6.167821,DLR
2012,2012-07-27,110132,Second-Hand,>=38<125,"11 Heathfield Crescent, Heathfield Green, Kildonan, Dublin 11, D11 P6V0, Ireland",53.3950194,-6.3217293,Fingal
2012,2012-01-05,241409,Second-Hand,>=38<125,"11 Orby Ave, The Gallops, Dublin 18, D18 VW20, Ireland",53.2658331,-6.2018027,DLR
2012,2012-10-15,229074,Second-Hand,>=38<125,"Rathcoole, Co. Dublin, Ireland",53.2817307,-6.466167,South Dublin
2012,2012-10-02,207000,Second-Hand,>=38<125,"Stocking Well Row, Ballycullen, Dublin, Ireland",53.2727917,-6.3193542,South Dublin
2012,2012-12-19,189427,New,>=38<125,"Stocking Well Row, Ballycullen, Dublin, Ireland",53.2727917,-6.3193542,South Dublin
2012,2012-09-06,125000,Second-Hand,>=38<125,"2, Castlegate House, Adamstown Ave, Adamstown Castle, Lucan, Co. Dublin, Ireland",53.3375978,-6.4620437,South Dublin
2012,2012-12-20,153303,Second-Hand,>125,"11 The Paddocks Rise, Adamstown, Lucan, Co. Dublin, K78 E970, Ireland",53.3484798,-6.4628221,South Dublin
2012,2012-04-12,335000,Second-Hand,>=38<125,"110 Galtrim Grange, Broomfield, Malahide, Co. Dublin, Ireland",53.4379607,-6.1551775,Fingal
2012,2012-11-30,88106,Second-Hand,>=38<125,"110 St Margaret's Rd, Ballymun, Dublin, Ireland",53.4063885,-6.289165,Dublin City
2012,2012-12-14,115000,Second-Hand,>=38<125,"Ratoath Rd, Ashtown, Dublin 7, Ireland",53.376394,-6.3090148,Dublin City
2012,2012-11-27,521585,Second-Hand,>125,"112 Foxrock Grove, Kill of the Grange, Dublin 18, D18 Y3K8, Ireland",53.2776254,-6.1664575,DLR
2012,2012-07-05,184000,Second-Hand,>=38<125,"Parkgate Business Centre, Parkgate St, Phoenix Park, Dublin 8, Ireland",53.3479009,-6.2944841,Dublin City
2012,2012-02-16,442500,Second-Hand,>=38<125,"114 Carr's Mill, Rahillion, Donabate, Co. Dublin, Ireland",53.4938992,-6.138087,Fingal
2012,2012-12-14,115000,Second-Hand,>=38<125,"Ratoath Rd, Ashtown, Dublin 7, Ireland",53.376394,-6.3090148,Dublin City
2012,2012-11-29,127753,Second-Hand,>=38<125,"117 Adamstown Ave, Finnstown, Lucan, Co. Dublin, Ireland",53.3376075,-6.4615805,South Dublin
2012,2012-07-05,1057268,New,>=38<125,"118 Bloomfield Ave, Dublin, Ireland",53.3258425,-6.245531,Dublin City
2012,2012-09-05,66079,Second-Hand,>=38<125,"Apartment 204, Citywest Plaza, Citywest Dr, Fortunestown, Saggart, Co. Dublin, Ireland",53.2829118,-6.4227919,South Dublin
2012,2012-05-17,86500,Second-Hand,>=38<125,"Crosbie's Yard, 64 Ossory Rd, East Wall, Dublin, Ireland",53.3554387,-6.2411408,Dublin City
2012,2012-05-16,339207,Second-Hand,>=38<125,"11D Grosvenor Ln, Dublin 6, D06 A3X6, Ireland",53.3239504,-6.2715365,Dublin City
2012,2012-02-16,360000,Second-Hand,<38,"11C Grosvenor Ln, Dublin 6, D06 C7R0, Ireland",53.3239295,-6.2716063,Dublin City
2012,2012-12-17,105727,Second-Hand,>=38<125,"2, Castlegate House, Adamstown Ave, Adamstown Castle, Lucan, Co. Dublin, Ireland",53.3375978,-6.4620437,South Dublin
2012,2012-11-30,136520,Second-Hand,<38,"12 Barnwell Dr, Hansfield, Dublin 15, D15 HH6Y, Ireland",53.3914015,-6.4441418,Fingal
2012,2012-10-05,207929,Second-Hand,>=38<125,"Beverton Wood, Beaverstown, Donabate, Co. Dublin, Ireland",53.4908849,-6.159376,Fingal
2012,2012-09-07,610000,Second-Hand,>125,"12 Claremont Ave, Honeypark, Dublin, Ireland",53.2827019,-6.1466374,DLR
2012,2012-03-26,1081057,Second-Hand,>=38<125,"12 Bloomfield Ave, Edward Square, Dublin 4, D04 A0P4, Ireland",53.3267768,-6.2455133,Dublin City
2012,2012-04-06,158000,Second-Hand,>=38<125,"12 Heathfield Crescent, Heathfield Green, Kildonan, Dublin 11, D11 H7R2, Ireland",53.3951134,-6.3211287,Fingal
2012,2012-04-05,148000,Second-Hand,>=38<125,"12 Latchford Pl, Castaheany, Clonee, Co. Dublin, D15 YF6K, Ireland",53.3990967,-6.4326494,Fingal
2012,2012-12-10,299000,Second-Hand,>=38<125,"Stocking Well Row, Ballycullen, Dublin, Ireland",53.2727917,-6.3193542,South Dublin
2012,2012-08-02,365639,Second-Hand,>125,"12 The Lawn, Boden Park, Dublin 16, Ireland",53.281316,-6.3062011,South Dublin
2012,2012-05-25,209691,Second-Hand,>=38<125,"12 Osprey, Barnageeragh Cove, Skerries, Co. Dublin, Ireland",53.5843844,-6.1340345,Fingal
2012,2012-06-19,145000,Second-Hand,>=38<125,"12 Heathfield Cl, Heathfield Green, Cappoge, Dublin 11, D11 Y6V6, Ireland",53.395169,-6.3262411,Fingal
2012,2012-11-29,159125,Second-Hand,>=38<125,"Kensington Lodge, Rochestown Ave, D̼n Laoghaire, Dublin, Ireland",53.2780899,-6.1535517,DLR
2012,2012-11-01,105727,Second-Hand,>125,"Hampton Wood Rd, Hampton Wood, Dublin 11, Ireland",53.4048535,-6.2881422,Dublin City
2012,2012-12-14,125000,Second-Hand,>=38<125,"Ratoath Rd, Ashtown, Dublin 7, Ireland",53.376394,-6.3090148,Dublin City
2012,2012-11-08,220264,Second-Hand,>=38<125,"Trimbleston, Goatstown Rd, Friarland, Dublin 14, Ireland",53.2983908,-6.2315228,DLR
2012,2012-11-19,305506,Second-Hand,>125,"124 Carr's Mill, Beaverstown Road, Rahillion, Donabate, Co. Dublin, K36 VY84, Ireland",53.4940866,-6.1367118,Fingal
2012,2012-02-29,286343,Second-Hand,>=38<125,"125 Carr's Mill, Beaverstown Road, Rahillion, Donabate, Co. Dublin, K36 YC53, Ireland",53.4940794,-6.1366217,Fingal
