year,sale_date,price,description_of_property,property_size_description,formatted_address,latitude,longitude,geo_county
2016,06/09/2016,138000,New,,"21 Deanstown Rd, Finglas West, Dublin 11, D11 H9H6, Ireland",53.3859463,-6.3168578,Dublin City
2012,02/10/2012,123000,New,,"59 Griffith Parade, Finglas East, Dublin 11, D11 APF7, Ireland",53.3825678,-6.2818589,Dublin City
2015,11/12/2015,275000,New,,"6 Hampton Wood Lawn, Hampton Wood, Dublin 11, D11 EN22, Ireland",53.4041841,-6.2848646,Dublin City
2013,06/09/2013,140105,New,greater than or equal to 38 sq metres and less than 125 sq metres,"Sandyford, Dublin, Ireland",53.2719967,-6.2207197,DLR
2014,04/09/2014,155000,New,greater than or equal to 38 sq metres and less than 125 sq metres,"Hollybrook Manor, Hollybrook Park, Clontarf West, Dublin 3, Ireland",53.3663997,-6.2183296,Dublin City
2017,16/05/2017,317652,New,,"15 Bridge St, Dublin 4, D04 K0T2, Ireland",53.342042,-6.2266072,Dublin City
2014,08/10/2014,522500,New,,"4 Kelston Ave, Leopardstown Rd, Newpark, Dublin 18, D18 A6W0, Ireland",53.2769174,-6.1855014,DLR
2016,26/02/2016,340000,New,,"20 Geraldine St, Phibsborough, Dublin 7, D07 F6K4, Ireland",53.3576524,-6.2701524,Dublin City
2017,12/04/2017,156000,New,,"9 Stralem Cres, Ongar Park, Dublin 15, D15 Y9V6, Ireland",53.3928647,-6.433425,Fingal
2014,03/03/2014,198237,New,greater than or equal to 38 sq metres and less than 125 sq metres,"Clongriffin, Dublin, Ireland",53.4013014,-6.1534481,Dublin City
2016,20/12/2016,470000,New,,"Alma House, Alma Pl, Monkstown, Co. Dublin, Ireland",53.2930863,-6.1533935,DLR
2012,06/07/2012,40000,New,,"27 Abbey St, Howth, Dublin, Ireland",53.3868735,-6.0656032,Fingal
2014,30/10/2014,246000,New,,"18 Palmer Park, Rathfarnham, Dublin 16, D16 W9F5, Ireland",53.2808273,-6.2920061,South Dublin
2015,18/06/2015,233846,New,,"18 St Columcille's Dr, Townparks, Swords, Co. Dublin, K67 X2X2, Ireland",53.4591276,-6.2179003,Fingal
2016,16/12/2016,334000,New,,"43 Temple Manor Way, Whitehall, Dublin 12, D12 VN27, Ireland",53.3069729,-6.3286321,South Dublin
2013,25/07/2013,255000,New,,"7 Temple View Park, Clarehall, Dublin 13, D13 P6C8, Ireland",53.4000751,-6.1741731,Dublin City
2014,31/10/2014,302000,New,,"3 Allendale Green, Clonsilla, Dublin 15, D15 T6H2, Ireland",53.3917937,-6.4271658,Fingal
2017,13/04/2017,308370,New,greater than or equal to 38 sq metres and less than 125 sq metres,"75, Neptune Lodge, Sandycove Point, DÃŒÂ¼n Laoghaire, Dublin, Ireland",53.2890348,-6.114664,DLR
2015,05/10/2015,410000,New,,"Linden Square, Grove Ave, Stillorgan, Dublin, Ireland",53.2931907,-6.1944534,DLR
2015,02/12/2015,154000,New,,"Windmill Court, Coolmine, Dublin 15, Ireland",53.3800057,-6.3986169,Fingal
2015,28/01/2015,251754,New,,"Sandyford, Dublin, Ireland",53.2719967,-6.2207197,DLR
