year,postal_code,price,property_size_description,formatted_address,latitude,longitude,geo_county
2012,,145000,greater than or equal to 38 sq metres and less than 125 sq metres,"2, Castlegate House, Adamstown Ave, Adamstown Castle, Lucan, Co. Dublin, Ireland",53.3375978,-6.4620437,South Dublin
2012,,384837,greater than 125 sq metres,"Portrane Rd, Donabate, Co. Dublin, Ireland",53.4906661,-6.1405043,Fingal
2012,,103769.16,greater than or equal to 38 sq metres and less than 125 sq metres,"104 St Margaret's Rd, Ballymun, Dublin, Ireland",53.4063885,-6.289165,Dublin City
2012,Dublin 3,91500,less than 38 sq metres,"Crosbie's Yard, 64 Ossory Rd, East Wall, Dublin, Ireland",53.3554387,-6.2411408,Dublin City
2012,,112000,greater than or equal to 38 sq metres and less than 125 sq metres,"Ratoath Rd, Ashtown, Dublin 7, Ireland",53.376394,-6.3090148,Dublin City
2012,,235000,greater than or equal to 38 sq metres and less than 125 sq metres,"Wyckham Point, Wyckham Way, Balally, Dublin 16, D16 P640, Ireland",53.2804439,-6.2433444,Dn Laoghaire-Rathdown
2012,,130000,greater than or equal to 38 sq metres and less than 125 sq metres,"Ratoath Rd, Ashtown, Dublin 7, Ireland",53.376394,-6.3090148,Dublin City
2012,,2.00E+05,greater than or equal to 38 sq metres and less than 125 sq metres,"10A Grotto Pl, Merrion, Blackrock, Co. Dublin, A94 W8N6, Ireland",53.3089528,-6.19803,Dn Laoghaire-Rathdown
2012,,2.00E+05,greater than or equal to 38 sq metres and less than 125 sq metres,"10B Grotto Pl, Merrion, Blackrock, Co. Dublin, A94 V9Y0, Ireland",53.3089066,-6.1979462,Dn Laoghaire-Rathdown
2012,,330000,greater than or equal to 38 sq metres and less than 125 sq metres,"11 Brennanstown Square, Brenanstown, Dublin, Ireland",53.2564293,-6.1502607,Dn Laoghaire-Rathdown
2012,,147874,greater than or equal to 38 sq metres and less than 125 sq metres,"11 Burgage Cres, Commons Little, Newcastle, Co. Dublin, D22 V656, Ireland",53.297746,-6.494566,South Dublin
2012,,192000,greater than or equal to 38 sq metres and less than 125 sq metres,"Kensington Lodge, Rochestown Ave, Dún Laoghaire, Dublin, Ireland",53.2780899,-6.1535517,Dn Laoghaire-Rathdown
2012,,154185.02,greater than 125 sq metres,"11 Ballynakelly Ct, Ballynakelly, Newcastle, Co. Dublin, D22 PK77, Ireland",53.2945132,-6.4926171,South Dublin
2012,,119950,greater than or equal to 38 sq metres and less than 125 sq metres,"11 Barnwell Ln, Hansfield, Dublin 15, D15 E5YV, Ireland",53.3914787,-6.4411761,Fingal
2012,Dublin 15,155000,greater than or equal to 38 sq metres and less than 125 sq metres,"11 Barnwell Rd, Hansfield, Dublin 15, D15 NF7K, Ireland",53.3909732,-6.4431382,Fingal
2012,,242290.74,greater than or equal to 38 sq metres and less than 125 sq metres,"Beverton Wood, Beaverstown, Donabate, Co. Dublin, Ireland",53.4908849,-6.159376,Fingal
2012,,240000,greater than or equal to 38 sq metres and less than 125 sq metres,"Apartment 17, Cedar Grove, Firhouse Rd, Knocklyon, Dublin 16, Ireland",53.288888,-6.3217007,South Dublin
2012,,95000,greater than 125 sq metres,"11 Chapelwood Green, Hollystown, Dublin 15, D15 FX2T, Ireland",53.4337499,-6.3757866,Fingal
2012,Dublin 18,638745,greater than or equal to 38 sq metres and less than 125 sq metres,"11 Claremont Pines, Cabinteely, Dublin 18, D18 N1W8, Ireland",53.2600162,-6.167821,Dn Laoghaire-Rathdown
2012,,110132.15,greater than or equal to 38 sq metres and less than 125 sq metres,"11 Heathfield Crescent, Heathfield Green, Kildonan, Dublin 11, D11 P6V0, Ireland",53.3950194,-6.3217293,Fingal
2012,,241409.69,greater than or equal to 38 sq metres and less than 125 sq metres,"11 Orby Ave, The Gallops, Dublin 18, D18 VW20, Ireland",53.2658331,-6.2018027,Dn Laoghaire-Rathdown
2012,,229074,greater than or equal to 38 sq metres and less than 125 sq metres,"Rathcoole, Co. Dublin, Ireland",53.2817307,-6.466167,South Dublin
2012,Dublin 16,207000,greater than or equal to 38 sq metres and less than 125 sq metres,"Stocking Well Row, Ballycullen, Dublin, Ireland",53.2727917,-6.3193542,South Dublin
2012,Dublin 16,189427,greater than or equal to 38 sq metres and less than 125 sq metres,"Stocking Well Row, Ballycullen, Dublin, Ireland",53.2727917,-6.3193542,South Dublin
